"","V1","V2","V3","V4","V5","V6"
"GTE_align_genes",0.0367166666666667,0.0659500000000008,0.15385,0.299949999999997,0.682450000000002,1.17251666666665
"GTE_align_pcs",0.000400000000000015,0.000750000000000265,0.00193333333333309,0.00380000000000109,0.00763333333334231,0.0177000000000286
"kBET",0.241066666666666,0.539366666666668,2.17901666666667,8.84205000000002,44.4371666666667,286.27785
"batch_LISI",0.0334833333333336,0.086333333333323,0.284666666666696,1.07708333333333,4.71505,15.2574666666666
"mixing_metric",0.0850499999999859,0.199599999999994,0.572066666666645,1.77983333333335,7.09213333333334,21.8811
"Shannon_entropy",0.0918166666666669,0.23458333333333,1.07161666666667,4.91356666666664,NA,NA
"ASW",0.173666666666668,0.695666666666678,4.35803333333333,NA,NA,NA
"cms_default",3.72861666666667,6.76318333333333,16.29745,33.17925,75.8926,210.810966666667
"cms_kmin",3.63795,6.86726666666667,16.6364166666667,33.9317166666667,77.8459333333333,214.5465
"cms_bmin",12.6280333333333,25.5670833333334,861.2412,NA,NA,NA
