"","Sim 1 (v1)","Sim 1 (v2)","Sim 1 (v3)","Sim 1","Sim 2","Sim 3"
"GTE_align_genes",0.0376784316564894,0.148311059617365,0.431026944548005,1.17519437503777,2.94143923545546,6.37660861854857
"GTE_align_pcs",0.459874714035146,1.62862245910597,4.60377058544174,13.4732507632854,29.1460924901806,50.1861766170529
"kBET",0.753333333333333,0.990666666666667,1,1,1,1
"batch_LISI",0.285361004154746,0.540445849303378,0.661799017252471,0.666661777765285,0.666666661055365,0.666666661108887
"mixing_metric",0.0631874811892373,0.166016797453548,0.61695065406407,0.945874848161129,1,1
"Shannon_entropy",0.13048309179778,0.477319640641656,0.948022755696132,0.999970312608812,1,1
"ASW",0.0241737104117835,0.0619927426661674,0.12952396845952,0.253758923601177,0.399646645043514,0.501100498349235
"cms_default",0.727718626929956,0.957643661432987,0.999758285539572,0.999999999999932,1,1
"cms_kmin",0.722680439058016,0.955850174485039,0.999656067445268,1,1,1
"cms_bmin",0.669758820825629,0.980659237121346,0.998706818271366,0.999946302137168,0.99984353512751,1
